127.0.0.1 - - [16/Mar/2016:22:05:23 -0430] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:05:25 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:05:25 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:05:25 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:05:33 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:05:33 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:05:33 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:05:33 -0430] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:07:24 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:07:24 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:07:24 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:07:25 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:07:25 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:07:25 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:08:52 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:08:52 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:08:52 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:08:53 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:08:53 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:08:53 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:08:59 -0430] "GET /Aplicacion01HTML/insertarLibro.jsp?isbn=w&titulo=&categoria= HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:17:53 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:17:53 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:17:53 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:17:54 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:17:54 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:17:54 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:18:03 -0430] "GET /Aplicacion01HTML/insertarLibro.jsp?isbn=jhg&titulo=Java&categoria=Web HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:18:27 -0430] "GET /Aplicacion01HTML/insertarLibro.jsp?isbn=jhg&titulo=Java&categoria=Web HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:18:29 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:18:29 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:18:29 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:18:39 -0430] "GET /Aplicacion01HTML/InsertarLibro.jsp?isbn=ds&titulo=Java&categoria=Web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:18:39 -0430] "GET /Aplicacion01HTML/MostrarLibros.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:19:13 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 865
